aba/te/c,  abat/ec/
aba/te/j,  abat/ej/
abatin,  abat/in/
ab/di/k,  abdik/
ab/dom/en/,  abdomen/
/abel/b/re/da/d,  abel/bred/ad/
/abel/b/re/di/st,  abel/bred/ist/
/abel/b/re/d,  abel/bred/
/abel/kor/b,  abel/korb/
/abel/s/varm/,  abel/svarm/
/abel/v/aks/,  abel/vaks/
abhx/azi/,  abhxaz/i/
abiar,  abi/ar/
abi/sen/i,  abisen/i/
abi/sen/,  abisen/
abi/sen/uj,  abisen/uj/
abi/tur/i/en/t,  abiturient/
ab/la/tiv,  ablativ/
ab/ne/gaci,  abnegaci/
aboco/libr/,  aboc/o/libr/
ab/ol/,  abol/
ab/ol/ici,  abolici/
ab/ol/iciism,  abolici/ism/
abom/en/,  abomen/
abom/en/ajx,  abomen/ajx/
abom/en/ig,  abomen/ig/
abom/en/ind,  abomen/ind/
abom/en/in/da/jx,  abomen/ind/ajx/
ab/or/i/gen/,  aborigen/
/abort/igil,  abort/ig/il/
abrah/am/,  abraham/
a/brik/ot,  abrikot/
a/brik/ot/arb/,  abrikot/arb/
a/brik/o/tuj/,  abrikot/uj/
a/bru/pt,  abrupt/
a/bru/ptajx,  abrupt/ajx/
ab/ruz/,  abruz/
abs/ide/t,  absid/et/
ab/si/d,  absid/
ab/si/ntajx,  absint/ajx/
ab/si/nt,  absint/
ab/si/ntism,  absint/ism/
abs/ol/ut,  absolut/
abs/ol/utism,  absolut/ism/
abs/ol/utist,  absolut/ist/
ab/solv/,  absolv/
abs/or/b,  absorb/
abs/or/bigx,  absorb/igx/
abs/orbit/,  absorb/it/
abs/orbit/ec,  absorb/it/ec/
abs/tem/i,  abstemi/
abstinad,  abstin/ad/
absti/ne/m,  abstin/em/
abstin/en/c,  abstinenc/
abstinul,  abstin/ul/
abstr/akt/,  abstrakt/
abstr/akt/ajx,  abstrakt/ajx/
abstr/akt/ec,  abstrakt/ec/
abstr/akt/ism,  abstrakt/ism/
a/bud/abi,  abudabi/
ab/un/d,  abund/
ab/un/de/c,  abund/ec/
ab/un/do/kor/n,  abund/o/korn/
abut/ment/,  abutment/
acet/al/de/hid,  acet/aldehid/
acetil/en/,  acetilen/
ace/ton/,  aceton/
/acid/e/tig/,  acid/et/ig/
/acid/k/re/m,  acid/krem/
/acid/obaz,  acid/o/baz/
/acid/om/ord/,  acid/o/mord/
ac/or/,  acor/
acxajxar,  acx/ajx/ar/
acxajx,  acx/ajx/
a/cxe/tajx,  acxet/ajx/
a/cxe/tant,  acxet/ant/
a/cxe/t/cxar/et,  acxet/cxar/et/
a/cxe/t/ebl/,  acxet/ebl/
a/cxe/te/j,  acxet/ej/
a/cxe/tem/,  acxet/em/
a/cxe/t,  acxet/
a/cxe/tist,  acxet/ist/
a/cxe/tit,  acxet/it/
a/cxe/t/pov/,  acxet/pov/
a/cxe/uxle,  acxeuxle/
a/cxi/gx,  acx/igx/
acxul,  acx/ul/
ad/agx/,  adagx/
a/da/m,  adam/
a/da/m/pom/,  adam/pom/
a/da/ptad,  adapt/ad/
a/da/ptajx,  adapt/ajx/
a/da/pt,  adapt/
a/da/p/tig/x,  adapt/igx/
a/da/ptil,  adapt/il/
a/da/si/sm,  ad/as/ism/
a/de/k/vat/,  adekvat/
a/de/la/id,  adelaid/
a/de/la/jd,  adelajd/
a/de/li/land/,  adeliland/
a/de/n,  aden/
a/de/ni/n,  adenin/
a/de/nozin,  adenozin/
a/de/nozin/tri/fosfat,  adenozin/trifosfat/
a/de/p/tig/,  adept/ig/
a/de/pt,  adept/
a/di/abat,  adiabat/
a/di/aux/,  adiaux/
a/di/ciat,  adici/at/
a/di/ci,  adici/
a/di/ciil,  adici/il/
a/di/gx,  adigx/
a/di/sabeb,  adis/abeb/
ad/je/kt,  adjekt/
ad/je/kti/vi/g,  adjektiv/ig/
ad/je/ktiv,  adjektiv/
adju/di/k,  adjudik/
adj/un/kt,  adjunkt/
ad/ministr/,  administr/
ad/ministr/antar,  administr/ant/ar/
ad/ministr/ant,  administr/ant/
ad/ministr/at/or/,  administrator/
ad/ministr/ej,  administr/ej/
ad/ministr/istar,  administr/ist/ar/
ad/ministr/ist,  administr/ist/
ad/ministr/o/jar/,  administr/o/jar/
ad/mir/al/,  admiral/
ad/mir/al/ej,  admiral/ej/
ad/mir/a/lit/at,  admiralitat/
ad/mir/al/sxip/,  admiral/sxip/
ad/mir/alt/,  admiralt/
ad/mir/eg,  admir/eg/
ad/mir/,  admir/
ad/mir/ind,  admir/ind/
ad/mon/,  admon/
ad/ole/s/kant/ec,  adolesk/ant/ec/
ad/ole/s/kant/in,  adolesk/ant/in/
ad/ole/s/kant/,  adolesk/ant/
ad/ole/s/ke/c,  adolesk/ec/
ad/ole/sk,  adolesk/
ad/ol/f,  adolf/
ad/ol/t,  adolt/
ado/ni/d,  adonid/
ado/ni/s,  adonis/
adoptint,  adopt/int/
adoptit,  adopt/it/
adopto/fil/in/,  adopt/o/fil/in/
adopto/fil/,  adopt/o/fil/
adopto/patr/in/,  adopt/o/patr/in/
adopto/patr/,  adopt/o/patr/
ado/rad/,  ador/ad/
ado/ran/t,  ador/ant/
ad/or/ej,  ador/ej/
ad/or/,  ador/
ad/or/ind,  ador/ind/
ad/or/k/lini/gx,  ador/klin/igx/
ad/ren/ali/n,  adrenalin/
ads/or/b,  adsorb/
ad/stri/ng,  adstring/
ad/stri/nga/gust/,  adstring/a/gust/
ad/stri/ngajx,  adstring/ajx/
a/du/ltad,  adult/ad/
a/du/lt,  adult/
a/du/l/tig/,  adult/ig/
a/du/ltulin,  adult/ul/in/
a/du/ltul,  adult/ul/
ad/vent/,  advent/
ad/verb/,  adverb/
ad/vers/,  advers/
ad/vers/ul,  advers/ul/
/aer/be/zon/,  aer/bezon/
/aer/bl/ov/,  aer/blov/
/aer/de/tru/igx,  aer/detru/igx/
ae/ren/glutad,  aer/en/glut/ad/
/aer/f/en/d,  aer/fend/
/aer/f/lot/,  aer/flot/
/aer/izo/lit/,  aer/izol/it/
/aer/ku/sen/,  aer/kusen/
/aer/ne/t/ole/r,  aer/ne/toler/
ae/rob/atik,  aerobatik/
