世界语单词##,候选汉字##
adiaux,再见
bis,
hura,
uxa,
kia,何a
tia,
cxia,全a
kies,何有
nenia,无a
ali,异
alt,高
bel,美
bon,好
jun,青
nov,新
sam,同
fort,强
grav,重
kelk,几
last,末
long,长
mult,多
plen,满
ricx,富
rugx,红
facil,易
grand,大
liber,自由
rapid,速
felicx,幸
proksim,近
fru,早
pur,净
sol,独
ver,真
cert,确
nigr,黑
varm,暖
afabl,和蔼
blank,白
dolcx,甜
neces,必
propr,私
simpl,简
dekstr,右
kuragx,勇
trankvil,安
blu,蓝
dik,粗
gaj,乐
hel,光
kar,爱
lac,累
san,健
sat,饱
just,正
prav,法
pret,备
util,用
verd,绿
apart,独
atent,注意
fremd,异
gxust,正
komun,共
largx,宽
agrabl,愉快
divers,多
intern,内
suficx,后缀
kontent,满
profund,深
mol,柔
pez,重
sek,旱
brun,棕
egal,平
flav,黄
griz,灰
kulp,罪
lert,巧
rekt,直
sagx,智
vast,阔
ceter,余
fresx,新
simil,似
kapabl,能
serioz,严肃
efektiv,有效
ordinar,平凡
akr,锋
fam,名
ies,有
avar,贪
dens,密
eben,平
fier,傲
firm,坚
nepr,必
plat,平
plur,多
surd,聋
vigl,活
fidel,忠
kviet,静
matur,成熟
sankt,圣
spert,经
subit,突
tauxg,用
honest,诚
konven,适
plur,多
preciz,精
strang,怪
delikat,精致
gxentil,雅
komfort,舒适
pacienc,耐心
special,特
gxeneral,总
konstant,恒
lam,瘸
mut,变
nud,裸
pal,苍
ruz,狡
van,虚
acid,酸
glat,滑
kler,智
krud,原
mild,温
abund,丰
blind,盲
blond,金
cxarm,魅
etern,永
favor,爱
graci,雅
humil,卑
lauxt,响
sever,严
stult,愚
fortik,坚
frenez,疯
kurioz,好奇
privat,私
sincer,诚
evident,显
oportun,适
prudent,慎
sci/vol##,求
diligent,勤
proksim/um##,近
ard,热
avid,渴
brav,勇
ebri,醉
krut,峻
naiv,天真
nobl,贵
sobr,节
humid,湿
ident,一
komik,滑稽
kripl,残
kruel,残
moder,适
sagac,聪
seren,静
sprit,灵
akurat,准
fervor,热
inklin,倾
jxaluz,嫉妒
kapric,变
modern,现
modest,谦
nenies,无
normal,常
sovagx,野
ekstrem,极
elegant,雅
eminent,卓越
komplet,完
oficial,官
perfekt,完美
probabl,可能
reciprok,互
indiferent,漠
inteligent,智
amar,苦
imun,免疫
real,实
ties,的
unik,唯
vant,虚
virg,童
aktiv,活
civil,文
cxies,所有
elast,弹
human,人
intim,亲
kaduk,衰
koket,撩
lojal,忠
malic,恶
mir/ind##,奇
rauxk,哑
rigid,硬
sekur,安
solen,威
tener,温
valid,有效
abrupt,突
absurd,荒谬
aktual,当前
arbitr,任
auxdac,助
ekzakt,准
furioz,愤
graved,孕
klasik,典
majest,威
nervoz,紧张
oblikv,斜
obstin,固执
plen/agx##,成
social,社
subtil,细
tragik,悲
absolut,绝
kontant,现金
