世界语单词,词性与重要性,候选汉字1,候选汉字2
adiaux,間7,再见,别
bis,間o,,再
hura,間o,,欢
uxa,擬f,,叫
kia,形1,何a,样
tia,形1,,此
cxia,形1,全a,全
kies,形1,何有,的
nenia,形1,无a,无
ali,形2,异,的
alt,形2,高,高
bel,形2,美,丽
bon,形2,好,良
jun,形2,青,年
nov,形2,新,新
sam,形2,同,一
fort,形2,强,强
grav,形2,重,要
kelk,形2,几,几
last,形2,末,尾
long,形2,长,长
mult,形2,多,多
plen,形2,满,满
ricx,形2,富,富
rugx,形2,红,红
facil,形2,易,易
grand,形2,大,大
liber,形2,自由,放
rapid,形2,速,速
felicx,形2,幸,乐
proksim,形2,近,近
fru,形3,早,早
pur,形3,净,纯
sol,形3,独,独
ver,形3,真,实
cert,形3,确,确
nigr,形3,黑,黑
varm,形3,暖,温
afabl,形3,和蔼,和
blank,形3,白,白
dolcx,形3,甜,柔
neces,形3,必,要
propr,形3,私,特
simpl,形3,简,易
dekstr,形3,右,正
kuragx,形3,勇,勇
trankvil,形3,安,静
blu,形4,蓝,蓝
dik,形4,粗,厚
gaj,形4,乐,乐
hel,形4,光,明
kar,形4,爱,爱
lac,形4,累,疲
san,形4,健,健
sat,形4,饱,满
just,形4,正,正
prav,形4,法,法
pret,形4,备,备
util,形4,用,用
verd,形4,绿,绿
apart,形4,独,异
atent,形4,注意,心
fremd,形4,异,外
gxust,形4,正,正
komun,形4,共,共
largx,形4,宽,宽
agrabl,形4,愉快,悦
divers,形4,多,多
intern,形4,内,内
suficx,形4,后缀,补
kontent,形4,满,满
profund,形4,深,深
mol,形5,柔,软
pez,形5,重,重
sek,形5,旱,干
brun,形5,棕,色
egal,形5,平,等
flav,形5,黄,黄
griz,形5,灰,灰
kulp,形5,罪,责
lert,形5,巧,能
rekt,形5,直,直
sagx,形5,智,明
vast,形5,阔,宽
ceter,形5,余,余
fresx,形5,新,新
simil,形5,似,似
kapabl,形5,能,能
serioz,形5,严肃,重
efektiv,形5,有效,效
ordinar,形5,平凡,常
